星级	名字	介绍	其他	网址	电话
5	芜湖天泰国际酒店	芜湖天泰国际酒店位于芜湖市两站广场，毗邻汽车站、火车站，距芜宣高速出入口仅10分钟车程，交通便利。	['开业：2013', '客房数：462']	https://hotels.ctrip.com/hotels/detail/?hotelId=1081257	联系方式：0553-3993888
5	马鞍山富力万达嘉华酒店	马鞍山富力万达嘉华酒店地处太白大道，毗邻大型综合购物中心马鞍山万达广场，信步可达周边娱乐休闲场所，与市政府、马钢总公司仅一步之遥，地理位置十分优越。	['开业：2014', '客房数：259']	https://hotels.ctrip.com/hotels/detail/?hotelId=1225627	联系方式：0555-5219999
5	六安皖西宾馆	六安皖西宾馆，地处安徽六安，主楼21层，建筑面积达到40000平方米，240套设计时尚的客房，配有专为商务人士量身打造的5层行政楼层和行政酒廊，所有客房均配有中央空调、独立浴室、冰柜、迷你酒吧、吹风机、电子保险箱、国际卫星电视、国际国内直拨电话、宽带上网、设备齐全的商务中心拥有国际互联网及专业周到的秘书服务；特设残疾人士专用客房和专用设施。10间多功能会议室为您提供一流的音响设备，可同时容纳1200人同时进餐的各类餐厅是会议和宴请的上佳选择。	['开业：2008', '装修时间：2019', '客房数：240']	https://hotels.ctrip.com/hotels/detail/?hotelId=1287612	联系方式：0564-3681818
5	合肥绿地福朋喜来登酒店	合肥绿地福朋喜来登酒店位于合肥市政府所在区的新城CBD中心，潜山路与休宁路交口，毗邻合肥市政府、合肥奥林匹克体育中心、合肥大剧院、万象城、安徽省博物院和安徽省广电中心。四周写字楼林立，环绕集购物商场、餐饮、娱乐、休闲等功能为一体的设施，如天鹅湖万达广场、万象城、新地Mall购物中心以及银泰城。	['开业：2014', '客房数：270']	https://hotels.ctrip.com/hotels/detail/?hotelId=1293666	联系方式：0551-65218888
5	芜湖悦圆方酒店	芜湖悦圆方酒店坐落于美丽的芜湖市经济技术开发区中心的“银湖”之畔——越秀路，临近芜合高速长江大桥收费站出口，交通便利。	['开业：2014', '客房数：370']	https://hotels.ctrip.com/hotels/detail/?hotelId=1314956	联系方式：0553-2882222
5	九华山阿尔卡迪亚温泉度假酒店	九华山阿尔卡迪亚温泉度假酒店（原九华山荣玺庄园温泉度假酒店），酒店整体建筑以汉唐风格为主，结合现代园林工艺，打造独具九华山禅意的高品质文化品牌。酒店总占地面积650亩，其中客房建筑面积5万多平米，拥有342间风格独特的客房，包含商务客房310间、豪华套房10套，更有26栋共132间轻奢素雅的别墅客房。	['开业：2018', '装修时间：2018', '客房数：342']	https://hotels.ctrip.com/hotels/detail/?hotelId=13947169	联系方式：0566-5117777
5	合肥明发国际大酒店	合肥明发国际大酒店雄踞合肥市庐阳区四里河路与北二环交汇处的明发商业广场的正中心，距万科城市广场和万科森林公园仅一步之遥。万科城市广场是您休闲娱乐购物的好去处，而万科森林公园是您放松身心的天然氧吧，完善的商业综合配套设施和酒店相得益彰；到达合肥市植物园约10分钟，另外到达庐阳生态旅游三十岗、三国遗址城、古逍遥津、李鸿章故居和包公祠等著名旅游景点十分便利。	['开业：2014', '装修时间：2017', '客房数：257']	https://hotels.ctrip.com/hotels/detail/?hotelId=1430498	联系方式：0551-68168888
5	芜湖富力万达嘉华酒店	芜湖富力万达嘉华酒店于芜湖万达广场商业圈，芜湖新高铁站、汽车站、南京禄口机场城市候机楼近在咫尺，距方特四期、新华联大白鲸海洋公园及鸠兹古镇约15—20分钟车程。美丽的神山公园也和酒店遥遥相望。	['开业：2014', '装修时间：2015', '客房数：280']	https://hotels.ctrip.com/hotels/detail/?hotelId=1487247	联系方式：0553-8308888
5	合肥翡翠湖迎宾馆	合肥翡翠湖迎宾馆坐落在合肥经济技术开发区翡翠湖畔，是由合肥经济技术开发区海恒控股集团投资开发兴建。	['开业：2007', '装修时间：2018', '客房数：153']	https://hotels.ctrip.com/hotels/detail/?hotelId=1554752	联系方式：0551-63369988
5	合肥恒悦国际外商俱乐部酒店	合肥外商国际俱乐部酒店位于中国亚太经济组织成员、花园式国家高新技术产业开发区内，距合肥市政府新址仅2分钟，紧邻蜀山风景区。	['开业：1999', '装修时间：2014', '客房数：157']	https://hotels.ctrip.com/hotels/detail/?hotelId=1585237	联系方式：0551-62229888
5	安徽饭店	安徽饭店位于梅山路，地处景色秀丽的西山风景区，北临清碧城河，南眺繁华闹市，西邻IFC国际金融中心，交通十分通捷。	['开业：1992', '装修时间：2014', '客房数：400']	https://hotels.ctrip.com/hotels/detail/?hotelId=1633341	联系方式：0551-62218888
5	芜湖海螺国际大酒店	芜湖海螺国际大酒店位于芜湖市镜湖区文化路，地处芜湖市中心城区，紧邻镜湖区政府，毗邻周边万达、华亿星隆国际、华强、八佰伴、苏宁、联盛等广场商圈林立；紧邻方特主题乐园，距鸠兹古镇、大白鲸海洋公园约15分钟车程；酒店背靠郁郁葱葱的赭山，地接千年古刹广济寺（小九华）之灵气，交通快捷、停车便利。 	['开业：2013', '装修时间：2019', '客房数：200']	https://hotels.ctrip.com/hotels/detail/?hotelId=1701813	联系方式：0553-3118188
